TIME_PERIOD#es;TIME_PERIOD_CODE;SEXO#es;SEXO_CODE;ACCIDENTE_GRAVEDAD#es;ACCIDENTE_GRAVEDAD_CODE;TIPO_TRABAJO#es;TIPO_TRABAJO_CODE;TRABAJO_HABITUAL#es;TRABAJO_HABITUAL_CODE;OBS_VALUE;CONFIDENCIALIDAD_OBSERVACION#es;NOTAS_OBSERVACION#es;ESTADO_OBSERVACION#es
2022;2022;Total;_T;Total;_T;Servicios a empresas/personas y trabajos intelectuales;4;Sí;SI;4797;;;
2003;2003;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;548;;;
2003;2003;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;1643;;;
2003;2003;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;2191;;;
2004;2004;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;551;;;
2004;2004;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;1136;;;
2004;2004;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;1687;;;
2005;2005;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;241;;;
2005;2005;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;602;;;
2005;2005;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;843;;;
2006;2006;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;236;;;
2006;2006;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;489;;;
2006;2006;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;725;;;
2007;2007;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;265;;;
2007;2007;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;563;;;
2007;2007;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;828;;;
2008;2008;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;159;;;
2008;2008;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;389;;;
2008;2008;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;548;;;
2009;2009;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;84;;;
2009;2009;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;181;;;
2009;2009;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;265;;;
2010;2010;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;72;;;
2010;2010;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;122;;;
2010;2010;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;194;;;
2011;2011;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;53;;;
2011;2011;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;104;;;
2011;2011;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;157;;;
2012;2012;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;35;;;
2012;2012;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;73;;;
2012;2012;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;108;;;
2013;2013;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;55;;;
2013;2013;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;100;;;
2013;2013;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;155;;;
2014;2014;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;63;;;
2014;2014;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;114;;;
2014;2014;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;177;;;
2015;2015;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;45;;;
2015;2015;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;89;;;
2015;2015;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;134;;;
2016;2016;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;50;;;
2016;2016;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;98;;;
2016;2016;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;148;;;
2017;2017;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;28;;;
2017;2017;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;88;;;
2017;2017;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;116;;;
2018;2018;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;29;;;
2018;2018;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;80;;;
2018;2018;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;109;;;
2019;2019;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;54;;;
2019;2019;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;95;;;
2019;2019;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;149;;;
2020;2020;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;42;;;
2020;2020;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;69;;;
2020;2020;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;111;;;
2021;2021;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;44;;;
2021;2021;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;90;;;
2021;2021;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;134;;;
2022;2022;Mujeres;F;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;45;;;
2022;2022;Hombres;M;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;84;;;
2022;2022;Total;_T;Total;_T;Otros tipos de trabajo no codificados en esta clasificación;9;Sí;SI;129;;;
2003;2003;Mujeres;F;Total;_T;Total;_T;Sí;SI;10344;;;
2003;2003;Hombres;M;Total;_T;Total;_T;Sí;SI;33354;;;
2003;2003;Total;_T;Total;_T;Total;_T;Sí;SI;43698;;;
2004;2004;Mujeres;F;Total;_T;Total;_T;Sí;SI;10001;;;
2004;2004;Hombres;M;Total;_T;Total;_T;Sí;SI;32856;;;
2004;2004;Total;_T;Total;_T;Total;_T;Sí;SI;42857;;;
2005;2005;Mujeres;F;Total;_T;Total;_T;Sí;SI;10274;;;
2005;2005;Hombres;M;Total;_T;Total;_T;Sí;SI;33061;;;
2005;2005;Total;_T;Total;_T;Total;_T;Sí;SI;43335;;;
2006;2006;Mujeres;F;Total;_T;Total;_T;Sí;SI;10435;;;
2006;2006;Hombres;M;Total;_T;Total;_T;Sí;SI;32817;;;
2006;2006;Total;_T;Total;_T;Total;_T;Sí;SI;43252;;;
2007;2007;Mujeres;F;Total;_T;Total;_T;Sí;SI;10540;;;
2007;2007;Hombres;M;Total;_T;Total;_T;Sí;SI;31253;;;
2007;2007;Total;_T;Total;_T;Total;_T;Sí;SI;41793;;;
2008;2008;Mujeres;F;Total;_T;Total;_T;Sí;SI;10216;;;
2008;2008;Hombres;M;Total;_T;Total;_T;Sí;SI;26112;;;
2008;2008;Total;_T;Total;_T;Total;_T;Sí;SI;36328;;;
2009;2009;Mujeres;F;Total;_T;Total;_T;Sí;SI;8555;;;
2009;2009;Hombres;M;Total;_T;Total;_T;Sí;SI;18964;;;
2009;2009;Total;_T;Total;_T;Total;_T;Sí;SI;27519;;;
2010;2010;Mujeres;F;Total;_T;Total;_T;Sí;SI;7775;;;
2010;2010;Hombres;M;Total;_T;Total;_T;Sí;SI;17011;;;
2010;2010;Total;_T;Total;_T;Total;_T;Sí;SI;24786;;;
2011;2011;Mujeres;F;Total;_T;Total;_T;Sí;SI;7771;;;
2011;2011;Hombres;M;Total;_T;Total;_T;Sí;SI;15946;;;
2011;2011;Total;_T;Total;_T;Total;_T;Sí;SI;23717;;;
2012;2012;Mujeres;F;Total;_T;Total;_T;Sí;SI;6279;;;
2012;2012;Hombres;M;Total;_T;Total;_T;Sí;SI;12436;;;
2012;2012;Total;_T;Total;_T;Total;_T;Sí;SI;18715;;;
2013;2013;Mujeres;F;Total;_T;Total;_T;Sí;SI;6722;;;
2013;2013;Hombres;M;Total;_T;Total;_T;Sí;SI;11984;;;
2013;2013;Total;_T;Total;_T;Total;_T;Sí;SI;18706;;;
2014;2014;Mujeres;F;Total;_T;Total;_T;Sí;SI;7296;;;
2014;2014;Hombres;M;Total;_T;Total;_T;Sí;SI;12859;;;
2014;2014;Total;_T;Total;_T;Total;_T;Sí;SI;20155;;;
2015;2015;Mujeres;F;Total;_T;Total;_T;Sí;SI;7378;;;
2015;2015;Hombres;M;Total;_T;Total;_T;Sí;SI;13618;;;
2015;2015;Total;_T;Total;_T;Total;_T;Sí;SI;20996;;;
2016;2016;Mujeres;F;Total;_T;Total;_T;Sí;SI;7726;;;
2016;2016;Hombres;M;Total;_T;Total;_T;Sí;SI;14473;;;
2016;2016;Total;_T;Total;_T;Total;_T;Sí;SI;22199;;;
2017;2017;Mujeres;F;Total;_T;Total;_T;Sí;SI;7847;;;
2017;2017;Hombres;M;Total;_T;Total;_T;Sí;SI;14998;;;
2017;2017;Total;_T;Total;_T;Total;_T;Sí;SI;22845;;;
2018;2018;Mujeres;F;Total;_T;Total;_T;Sí;SI;7650;;;
2018;2018;Hombres;M;Total;_T;Total;_T;Sí;SI;15369;;;
2018;2018;Total;_T;Total;_T;Total;_T;Sí;SI;23019;;;
2019;2019;Mujeres;F;Total;_T;Total;_T;Sí;SI;7019;;;
2019;2019;Hombres;M;Total;_T;Total;_T;Sí;SI;14734;;;
2019;2019;Total;_T;Total;_T;Total;_T;Sí;SI;21753;;;
2020;2020;Mujeres;F;Total;_T;Total;_T;Sí;SI;4414;;;
2020;2020;Hombres;M;Total;_T;Total;_T;Sí;SI;10198;;;
2020;2020;Total;_T;Total;_T;Total;_T;Sí;SI;14612;;;
2021;2021;Mujeres;F;Total;_T;Total;_T;Sí;SI;5355;;;
2021;2021;Hombres;M;Total;_T;Total;_T;Sí;SI;11651;;;
2021;2021;Total;_T;Total;_T;Total;_T;Sí;SI;17006;;;
2022;2022;Mujeres;F;Total;_T;Total;_T;Sí;SI;6990;;;
2022;2022;Hombres;M;Total;_T;Total;_T;Sí;SI;14137;;;
2022;2022;Total;_T;Total;_T;Total;_T;Sí;SI;21127;;;
2003;2003;Mujeres;F;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;649;;;
2003;2003;Hombres;M;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1351;;;
2003;2003;Total;_T;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;2000;;;
2004;2004;Mujeres;F;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;499;;;
2004;2004;Hombres;M;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1128;;;
2004;2004;Total;_T;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1627;;;
2005;2005;Mujeres;F;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;439;;;
2005;2005;Hombres;M;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1158;;;
2005;2005;Total;_T;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1597;;;
2006;2006;Mujeres;F;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;440;;;
2006;2006;Hombres;M;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1054;;;
2006;2006;Total;_T;Total;_T;Trabajo agrícola, forestal, hortícola, piscícola, con animales vivos;3;Sí;SI;1494;;;
